,cores,r_groups,name,subs,main_core,type,std_DFT_forward,Range_DFT_forward,Num_Reacs
110,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*/C=C/C=C\\[C@@H](O)[C@@H](O)/C=C(/*)C.*C', '*C(=O)N1[C@H](C)C[C@H](O)[C@H]1*', '*C(=O)N1[C@H](C)C[C@H](O)[C@H]1*', '*/C=C/C=C\\[C@@H](O)[C@@H](O)/C=C(/*)C']",02_122,4,C1C=CCCC1,Diels-Alder,4.750004803044663,16.025,1
111,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*CCC*', '*/C=C/CCCC/C=C/*', '*/C=C/CCCC/C=C/*', '*CCC*']",02_124,4,C1C=CCCC1,Diels-Alder,4.090750093358893,14.227,1
112,C(=C[*:1])C(C(C(=C[*:5])[*:4])[*:3])[*:2],"['*/C=C\\[C@H]1C[C@@H](O)C[C@@H](O)[C@H]1*', '*C(=O)O[C@H](CC)[C@@H](*)C', '*C(=O)O[C@H](CC)[C@@H](*)C', '*C', '*/C=C\\[C@H]1C[C@@H](O)C[C@@H](O)[C@H]1*']",02_126,5,C=CCCC=C,"[3,3]rearrangement",4.361832600132535,16.543,1
113,C(=C[*:1])C(C(C(=C[*:5])[*:4])[*:3])[*:2],"['*/C=C\\[C@@H]1C[C@@H](O)C[C@@H](O)[C@H]1*', '*C(=O)O[C@H](CC)[C@@H](*)C', '*C(=O)O[C@H](CC)[C@@H](*)C', '*C', '*/C=C\\[C@@H]1C[C@@H](O)C[C@@H](O)[C@H]1*']",02_127,5,C=CCCC=C,"[3,3]rearrangement",4.429555958498965,16.764000000000003,1
114,C=C=CC(C(=C[*:1])[*:2])[*:3],"['*C#N.*C#N', '*CCCC*', '*CCCC*']",02_128,3,C=C=CCC=C,"[3,3]rearrangement",4.499430189362579,17.337999999999997,1
115,C=C=C(C(C(=C[*:1])[*:2])[*:3])[*:4],"['*C#N.*C#N', '*CCCC*', '*CCCC*', '*C']",02_129,4,C=C=CCC=C,"[3,3]rearrangement",4.92460386090517,18.673,1
116,C=C=C(C(C(=C[*:1])[*:2])[*:3])[*:4],"['*C#N.*C#N', '*CCCC*', '*CCCC*', '*COC(C)=O']",02_130,4,C=C=CCC=C,"[3,3]rearrangement",4.9789289154131176,19.39,1
117,C=C=CC(C(=C[*:1])[*:2])[*:3],"['*C#N.*C#N', '*C[C@H]1C=C[C@@H](*)C1', '*C[C@H]1C=C[C@@H](*)C1']",02_131,3,C=C=CCC=C,"[3,3]rearrangement",4.418258288356577,16.796000000000003,1
118,C=C=C(C(C(=C[*:1])[*:2])[*:3])[*:4],"['*C#N.*C#N', '*C[C@H]1C=C[C@@H](*)C1', '*C[C@H]1C=C[C@@H](*)C1', '*C']",02_132,4,C=C=CCC=C,"[3,3]rearrangement",4.750890027419239,17.648,1
119,C=C=C(C(C(=C[*:1])[*:2])[*:3])[*:4],"['*C#N.*C#N', '*C[C@H]1C=C[C@@H](*)C1', '*C[C@H]1C=C[C@@H](*)C1', '*COC(C)=O']",02_133,4,C=C=CCC=C,"[3,3]rearrangement",4.812191901005743,18.491000000000003,1
120,ERROR,ERROR,02_134,ERROR,ERROR,ERROR,3.660084725795292,14.886,1
121,C=CC(CC(=O)[*:1])[*:2],"['*C(=O)O', '*C(=O)O']",02_135,2,C=CCCC=O,"[3,3]rearrangement",3.889021497822597,15.515,1
122,O=CCC(C=C[*:2])[*:1],"['*C=CC*', '*C=CC*']",02_136,2,C=CCCC=O,"[3,3]rearrangement",4.863871653647729,19.042,1
123,O=C(CC(C=C[*:3])[*:2])[*:1],"['*C(=O)O', '*C(=O)O.*C=C[C@H](*)O', '*C=C[C@H](*)O']",02_137,3,C=CCCC=O,"[3,3]rearrangement",5.150618547422497,18.585,1
124,O=C(C(CC=C[*:3])[*:2])[*:1],"['*C=Cc1c(C)cc(=O)oc1*', '*C=Cc1c(C)cc(=O)oc1*', '*C.*C']",02_138,3,C=CCCC=O,"[3,3]rearrangement",4.734555526017978,18.638,1
125,C=CC(CC(=O)[*:1])[*:2],"['*C(=O)[O-]', '*C(=O)[O-]']",02_139,2,C=CCCC=O,"[3,3]rearrangement",3.7060423759187184,13.784,1
